Country,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ALL COUNTRIES,303393.0,325315.0,336414.0,356066.0,404440.0,421120.0,429512.0,446079.0,467850.0,488080.0,508878.0,522774.0,532768.0,539809.0,555951.0,570407.0,586584.0,603238.0,621165.0,629803.0,645947.0,675150.0,707577.0,727082.0,741530.0,761698.0,775795.0,792882,795778.0,814964.0,855394.0,898620.0,947049.0,1002085.0,1052457.0,1132558.0,1187087.0,1231013.0,1311368.0,1382504.0,1458530.0,1503470.0,1550839.0,1595743.0,1601947.0
Albania,0.01,0.01,0.01,0.01,0.01,1.0,0.01,3.0,0.01,3.0,3.0,6.0,3.0,3.0,3.0,2.0,11.0,11.0,18.0,20.0,28.0,39.0,37.0,47.0,30.0,35.0,34.0,31,27.0,38.0,38.0,30.0,38.0,35.0,42.0,62.0,72.0,100.0,159.0,140.0,157.0,177.0,178.0,200.0,186.0
Algeria,71.0,57.0,75.0,65.0,90.0,75.0,62.0,84.0,103.0,120.0,127.0,142.0,137.0,127.0,129.0,143.0,140.0,177.0,208.0,245.0,212.0,254.0,272.0,304.0,317.0,338.0,396.0,416,457.0,493.0,593.0,729.0,794.0,980.0,1197.0,1338.0,1606.0,1664.0,1780.0,1987.0,2234.0,2467.0,2734.0,3461.0,3624.0
Andorra,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,1.0,0.01,0.01,0.01,1.0,0.01,1.0,1,3.0,3.0,2.0,1.0,3.0,8.0,8.0,1.0,2.0,6.0,2.0,5.0,8.0,12.0,13.0,13.0,12.0
Angola,9.0,5.0,5.0,0.01,5.0,1.0,1.0,0.01,1.0,2.0,3.0,2.0,0.01,3.0,3.0,6.0,0.01,3.0,5.0,10.0,7.0,5.0,7.0,1.0,10.0,5.0,10.0,13,13.0,13.0,5.0,9.0,17.0,13.0,15.0,17.0,33.0,31.0,30.0,37.0,45.0,57.0,69.0,80.0,93.0
Argentina,947.0,963.0,723.0,790.0,946.0,959.0,975.0,1121.0,1224.0,1274.0,1453.0,1558.0,1589.0,1926.0,1908.0,1892.0,1972.0,2188.0,2110.0,2115.0,2177.0,2425.0,2754.0,3318.0,3588.0,3867.0,4077.0,4446,4537.0,4895.0,4782.0,4949.0,5139.0,5552.0,5952.0,6760.0,7122.0,7650.0,8162.0,8510.0,8782.0,8809.0,9199.0,9361.0,9284.0
Armenia,2.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.0,4.0,23.0,43.0,81.0,221.0,243.0,269.0,308.0,289.0,286.0,301.0,316,319.0,366.0,390.0,402.0,382.0,407.0,422.0,564.0,512.0,590.0,682.0,826.0,727.0,720.0,788.0,841.0,815.0
Australia,6170.0,6393.0,6764.0,7445.0,8334.0,8962.0,9391.0,10091.0,10799.0,10918.0,11486.0,11858.0,12005.0,12350.0,12668.0,13086.0,13069.0,13567.0,14062.0,14848.0,15769.0,17189.0,18486.0,19388.0,20102.0,21060.0,21314.0,21831,22256.0,22814.0,24245.0,25864.0,27135.0,29738.0,32166.0,35598.0,38466.0,41134.0,45301.0,49434.0,54983.0,58583.0,62364.0,65462.0,66073.0
Austria,1703.0,2001.0,1939.0,1992.0,2675.0,2771.0,2802.0,2995.0,2920.0,3013.0,3189.0,3222.0,3397.0,3416.0,3342.0,3615.0,3781.0,3954.0,4054.0,4528.0,4550.0,4854.0,5465.0,5933.0,6575.0,6752.0,7108.0,7285,7783.0,7871.0,8397.0,8751.0,8997.0,9205.0,9917.0,10650.0,11096.0,11903.0,12851.0,13457.0,14423.0,14953.0,15563.0,16496.0,16587.0
Azerbaijan,2.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,3.0,23.0,25.0,129.0,239.0,206.0,210.0,197.0,170.0,177.0,142.0,169,138.0,184.0,231.0,214.0,238.0,242.0,251.0,318.0,410.0,478.0,547.0,541.0,467.0,471.0,494.0,594.0,619.0
Bahamas,5.0,5.0,3.0,4.0,4.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,5.0,6.0,5.0,4.0,3.0,5.0,0.01,4.0,3.0,4.0,3.0,3.0,3.0,6.0,7.0,7,7.0,10.0,6.0,7.0,8.0,11.0,17.0,13.0,18.0,14.0,20.0,22.0,28.0,38.0,36.0,36.0,51.0
Bahrain,0.01,0.01,1.0,0.01,0.01,2.0,1.0,2.0,5.0,4.0,21.0,21.0,33.0,26.0,39.0,64.0,81.0,59.0,78.0,70.0,59.0,80.0,79.0,67.0,65.0,62.0,69.0,54,63.0,46.0,73.0,90.0,98.0,121.0,122.0,114.0,137.0,138.0,140.0,133.0,186.0,186.0,167.0,215.0,190.0
Bangladesh,51.0,33.0,49.0,51.0,66.0,77.0,91.0,112.0,123.0,144.0,139.0,159.0,176.0,194.0,211.0,182.0,197.0,196.0,233.0,297.0,292.0,306.0,343.0,324.0,329.0,325.0,371.0,376,414.0,424.0,478.0,488.0,525.0,607.0,685.0,826.0,912.0,1053.0,1154.0,1378.0,1465.0,1652.0,1788.0,1962.0,2257.0
Barbados,5.0,12.0,14.0,11.0,17.0,14.0,20.0,18.0,20.0,16.0,26.0,17.0,23.0,36.0,32.0,39.0,17.0,30.0,27.0,34.0,37.0,32.0,46.0,25.0,36.0,38.0,38.0,36,45.0,37.0,52.0,71.0,48.0,48.0,52.0,63.0,51.0,63.0,78.0,82.0,76.0,75.0,80.0,91.0,73.0
Belgium,2442.0,2802.0,2968.0,3189.0,3767.0,3909.0,3946.0,4152.0,4428.0,4758.0,4773.0,5099.0,5125.0,5099.0,5449.0,5517.0,5912.0,6023.0,6292.0,6714.0,6951.0,7876.0,8444.0,9061.0,9333.0,9850.0,10079.0,10152,10531.0,11030.0,11883.0,12439.0,13364.0,13656.0,14695.0,15781.0,16563.0,17800.0,18903.0,19968.0,21283.0,21851.0,22657.0,23160.0,22968.0
Belize,0.01,0.01,0.01,1.0,0.01,0.01,1.0,4.0,4.0,1.0,0.01,0.01,2.0,2.0,0.01,3.0,2.0,1.0,3.0,0.01,5.0,4.0,7.0,5.0,8.0,5.0,7.0,2,4.0,5.0,8.0,7.0,12.0,13.0,8.0,8.0,7.0,17.0,12.0,15.0,20.0,17.0,27.0,26.0,34.0
Benin,2.0,2.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,5.0,8.0,9.0,9.0,16.0,11.0,16.0,16.0,26.0,19.0,37.0,27.0,30.0,44.0,56.0,53.0,53.0,65,56.0,72.0,69.0,92.0,86.0,117.0,134.0,168.0,179.0,197.0,222.0,254.0,276.0,299.0,315.0,297.0,320.0
Bermuda,3.0,12.0,10.0,6.0,8.0,13.0,9.0,10.0,4.0,12.0,13.0,12.0,11.0,13.0,10.0,10.0,13.0,15.0,12.0,11.0,16.0,12.0,13.0,17.0,11.0,30.0,13.0,22,32.0,27.0,13.0,17.0,19.0,22.0,29.0,23.0,26.0,27.0,39.0,37.0,41.0,25.0,42.0,43.0,45.0
Bhutan,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,5.0,2.0,0.01,3.0,4.0,3.0,3.0,0.01,1.0,3.0,1.0,3,2.0,7.0,5.0,13.0,8.0,23.0,7.0,8.0,15.0,28.0,31.0,26.0,39.0,45.0,43.0,65.0,70.0
Bolivia,11.0,17.0,14.0,7.0,17.0,18.0,22.0,14.0,23.0,10.0,20.0,15.0,40.0,18.0,24.0,16.0,38.0,24.0,32.0,37.0,54.0,64.0,56.0,55.0,81.0,74.0,98.0,65,83.0,98.0,111.0,116.0,128.0,133.0,182.0,200.0,194.0,197.0,200.0,193.0,238.0,240.0,249.0,267.0,218.0
Bosnia & Herzegovina,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.0,2.0,7.0,25.0,21.0,20.0,21.0,25.0,27.0,23.0,30,51.0,40.0,59.0,60.0,101.0,104.0,279.0,322.0,362.0,467.0,494.0,450.0,366.0,388.0,460.0,486.0,554.0
Botswana,1.0,3.0,7.0,9.0,14.0,12.0,14.0,20.0,13.0,26.0,8.0,21.0,25.0,30.0,21.0,28.0,20.0,25.0,42.0,27.0,42.0,42.0,60.0,73.0,71.0,74.0,99.0,112,112.0,132.0,123.0,125.0,138.0,175.0,194.0,200.0,183.0,159.0,227.0,192.0,220.0,279.0,230.0,321.0,334.0
